rank,id,name,location,pv_score_max,pv_status_model,geocode_score,image_path,overlay_path,mask_ratio
596,2911,上海益田假日广场,上海市杨浦区五角场,0.010156,no_clear_pv,100,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\2911_上海益田假日广场.jpg,,
597,2493,上海徐汇万科中心,上海市徐汇区万科中心,0.009264,no_clear_pv,83.16,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\2493_上海徐汇万科中心.jpg,,
598,3955,上海美罗城,上海市徐汇区肇家浜路1111号,0.009264,no_clear_pv,75.24,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\3955_上海美罗城.jpg,,
599,5403,上海保利时光里,上海市徐汇区保利时光里,0.009264,no_clear_pv,81,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\5403_上海保利时光里.jpg,,
600,5675,上海贝尚坊时尚生活中心,上海市徐汇区时尚生活中心,0.009264,no_clear_pv,79.2,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\5675_上海贝尚坊时尚生活中心.jpg,,
601,6489,上海徐汇绿地滨江CLUB,上海市徐汇区绿地滨江国际中心,0.009264,no_clear_pv,76.37,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6489_上海徐汇绿地滨江CLUB.jpg,,
602,6253,上海张江绿地缤纷广场,上海市浦东新区张江高科技园区金科路788号,0.009077,no_clear_pv,81.67,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6253_上海张江绿地缤纷广场.jpg,,
603,7239,上海罗店宝龙广场,上海市宝山区杨南路2211号,0.008883,no_clear_pv,87.5,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7239_上海罗店宝龙广场.jpg,,
604,2653,上海BFC外滩金融中心,宿迁爱琴海购物中心(装修中)，江苏省宿迁市宿城区宿支路118号(发展大道与交汇处),0.008481,no_clear_pv,87.36,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\2653_上海BFC外滩金融中心.jpg,,
605,3028,上海徐汇绿地缤纷城,上海市徐汇区东安路562号,0.008472,no_clear_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\3028_上海徐汇绿地缤纷城.jpg,,
606,6252,上海汇阳广场,上海市徐汇区田林东路75号,0.008275,no_clear_pv,100,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6252_上海汇阳广场.jpg,,
607,3986,上海96广场,九六广场，上海市上海市浦东新区陆家嘴东方路796号,0.007148,no_clear_pv,98.75,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\3986_上海96广场.jpg,,
608,4591,上海御桥九六广场,上海市浦东新区九六广场,0.007148,no_clear_pv,100,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\4591_上海御桥九六广场.jpg,,
609,7658,上海御桥96广场,御桥九六广场，上海市上海市浦东新区御桥路999号(康恒路地铁站1号口旁),0.007148,no_clear_pv,89.27,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7658_上海御桥96广场.jpg,,
610,1533,上海嘉宝紫提湾新荟广场,上海市嘉定区德立路88弄,0.006683,no_clear_pv,79.12,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\1533_上海嘉宝紫提湾新荟广场.jpg,,
611,4437,上海罗宾森购物广场,上海市嘉定区罗宾森购物广场,0.006683,no_clear_pv,77.64,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\4437_上海罗宾森购物广场.jpg,,
612,7940,上海嘉定印象城,,0.006683,no_clear_pv,87.12,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7940_上海嘉定印象城.jpg,,
613,8242,上海莘潮国际家居(嘉定店),,0.006683,no_clear_pv,79.13,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\8242_上海莘潮国际家居(嘉定店).jpg,,
614,7457,上海淮海755,上海市黄浦区淮海中路755号,0.006387,no_clear_pv,100,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7457_上海淮海755.jpg,,
615,351,上海静安大融城,上海市静安区沪太路1111弄,0.006239,no_clear_pv,87.5,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\351_上海静安大融城.jpg,,
616,7120,上海龙湖江湾里,上海市杨浦区尚浦领世,0.006203,no_clear_pv,83.06,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7120_上海龙湖江湾里.jpg,,
617,7244,上海汇京国际广场,上海市徐汇区虹桥路777号,0.006138,no_clear_pv,100,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7244_上海汇京国际广场.jpg,,
618,7533,上海创邑MIX,上海市徐汇区罗秀路|897号,0.005995,no_clear_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7533_上海创邑MIX.jpg,,
619,4419,上海天和广场,上海市浦东新区祝桥镇百熙路/华星路,0.005344,no_clear_pv,91.72,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\4419_上海天和广场.jpg,,
620,7549,上海腾飞广场,上海市徐汇区天钥桥路333号,0.005140,no_clear_pv,100,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7549_上海腾飞广场.jpg,,
621,8211,上海巴黎春天·悦汇天山,,0.004961,no_clear_pv,78.86,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\8211_上海巴黎春天·悦汇天山.jpg,,
622,6716,上海%莘荟,上海市静安区北宝兴路624号,0.004792,no_clear_pv,90,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6716_上海%莘荟.jpg,,
623,1496,上海光启城,上海市徐汇区宜山路455号,0.004546,no_clear_pv,100,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\1496_上海光启城.jpg,,
624,5840,上海香港名都,上海市黄浦区河南南路489号,0.004239,no_clear_pv,90,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\5840_上海香港名都.jpg,,
625,4577,上海世茂广场,上海市黄浦区南京路步行街829号,0.004198,no_clear_pv,91.25,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\4577_上海世茂广场.jpg,,
626,5545,上海外滩中央广场,上海市黄浦区南京路步行街139号,0.004198,no_clear_pv,91.25,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\5545_上海外滩中央广场.jpg,,
627,6035,上海悦荟广场,上海市黄浦区南京路步行街353号,0.004198,no_clear_pv,91.25,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6035_上海悦荟广场.jpg,,
628,6922,上海宏伊国际广场,上海市黄浦区南京路步行街299号,0.004198,no_clear_pv,91.25,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6922_上海宏伊国际广场.jpg,,
629,1543,上海长宁来福士广场,上海市长宁区长宁路1189号,0.004056,no_clear_pv,87.5,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\1543_上海长宁来福士广场.jpg,,
630,4434,上海兆丰广场,上海市长宁区长宁路1027号,0.004056,no_clear_pv,87.5,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\4434_上海兆丰广场.jpg,,
631,7432,上海玫瑰坊,上海市长宁区长宁路890号,0.004056,no_clear_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7432_上海玫瑰坊.jpg,,
632,3281,上海森兰招商花园城,上海市浦东新区启帆路,0.004025,no_clear_pv,87.85,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\3281_上海森兰招商花园城.jpg,,
633,5300,上海云汇天地,上海市浦东新区云汇天地(暂停营业),0.004025,no_clear_pv,77.71,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\5300_上海云汇天地.jpg,,
634,5365,上海证大喜玛拉雅中心,上海市浦东新区证大喜玛拉雅中心,0.004025,no_clear_pv,77.85,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\5365_上海证大喜玛拉雅中心.jpg,,
635,6145,上海览海国际广场,上海市浦东新区览海国际广场,0.004025,no_clear_pv,80.68,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6145_上海览海国际广场.jpg,,
636,6866,上海德淳路印力项目,上海市浦东新区玉盘北路,0.004025,no_clear_pv,84.6,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6866_上海德淳路印力项目.jpg,,
637,3797,上海虹桥丽宝乐园,上海市闵行区锡虹路368号,0.003978,no_clear_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\3797_上海虹桥丽宝乐园.jpg,,
638,5383,上海我格广场,上海市普陀区武宁路101号,0.003752,no_clear_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\5383_上海我格广场.jpg,,
639,7238,上海利通广场,上海市虹口区四川北路1350号,0.003707,no_clear_pv,100,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7238_上海利通广场.jpg,,
640,4345,上海中原城市广场,上海市杨浦区国和路701号,0.003669,no_clear_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\4345_上海中原城市广场.jpg,,
641,6597,上海国和1000广场,上海市杨浦区世界路/国和路,0.003669,no_clear_pv,91.25,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6597_上海国和1000广场.jpg,,
642,1800,上海百联南桥购物中心,上海市奉贤区百齐路588号,0.003663,no_clear_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\1800_上海百联南桥购物中心.jpg,,
643,7696,中兴傲舍,,0.003562,no_clear_pv,88.43,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7696_中兴傲舍.jpg,,
644,1615,上海北外滩来福士,上海市虹口区东大名路1089号,0.003560,no_clear_pv,88.33,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\1615_上海北外滩来福士.jpg,,
645,1863,上海白玉兰广场,上海市虹口区东大名路555号,0.003560,no_clear_pv,90,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\1863_上海白玉兰广场.jpg,,
646,5463,上海北外滩上实中心,上海市虹口区丹徒路/东大名路,0.003560,no_clear_pv,91.92,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\5463_上海北外滩上实中心.jpg,,
647,7587,上海乐坊·新紫茂生活广场,上海市浦东新区巨峰路1058弄,0.003434,no_clear_pv,88.33,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7587_上海乐坊·新紫茂生活广场.jpg,,
648,4439,上海平高广场,上海市松江区九峰路118号,0.003304,no_clear_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\4439_上海平高广场.jpg,,
649,1142,上海徐汇日月光中心,上海市徐汇区漕宝路33号,0.003151,no_clear_pv,98.9,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\1142_上海徐汇日月光中心.jpg,,
650,7127,龙湖上海贤丰城项目,上海市奉贤区嘉园路/广丰路,0.002888,no_clear_pv,91.25,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7127_龙湖上海贤丰城项目.jpg,,
651,7706,闵行日月光中心,闵行日月光中心，上海市上海市闵行区莘福路288号,0.002774,no_clear_pv,80.36,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7706_闵行日月光中心.jpg,,
652,6404,上海金汇四季广场,上海市闵行区金汇路538号,0.002548,no_clear_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6404_上海金汇四季广场.jpg,,
653,4222,上海百联青浦购物中心,上海市青浦区盈港路1560号,0.002414,no_clear_pv,87.5,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\4222_上海百联青浦购物中心.jpg,,
654,7501,上海万科2049@翡翠公园,上海市浦东新区荣科路280号,0.002386,no_clear_pv,90,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7501_上海万科2049@翡翠公园.jpg,,
655,3135,上海静安MOHO,上海市静安区江宁路|699,0.002225,no_clear_pv,98.9,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\3135_上海静安MOHO.jpg,,
656,1317,上海新世界·K11,上海市黄浦区黄陂南路站,0.002153,no_clear_pv,96.82,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\1317_上海新世界·K11.jpg,,
657,7592,上海四季坊,上海市静安区吴江路139号,0.002151,no_clear_pv,89.67,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7592_上海四季坊.jpg,,
658,5341,上海百联滨江购物中心,上海市杨浦区百联滨江购物中心,0.002030,no_clear_pv,76.37,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\5341_上海百联滨江购物中心.jpg,,
659,8220,上海杨浦滨江超极合生汇,,0.002030,no_clear_pv,79.13,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\8220_上海杨浦滨江超极合生汇.jpg,,
660,6799,上海亭林大名悦广场,上海市金山区林吉路/红梓路,0.001983,no_clear_pv,79.16,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6799_上海亭林大名悦广场.jpg,,
661,5438,上海鹏欣星游城,上海市徐汇区天钥桥路580号,0.001945,no_clear_pv,100,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\5438_上海鹏欣星游城.jpg,,
662,994,上海世纪汇广场,上海市浦东新区世纪大道1192号,0.001931,no_clear_pv,100,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\994_上海世纪汇广场.jpg,,
663,648,上海易家中心,上海市金山区城河路373号,0.001927,no_clear_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\648_上海易家中心.jpg,,
664,7110,上海乐坊芦恒生活广场,上海市闵行区浦星公路569号,0.001888,no_clear_pv,90,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7110_上海乐坊芦恒生活广场.jpg,,
665,8253,上海金泽元·拾光里,,0.001744,no_clear_pv,82.42,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\8253_上海金泽元·拾光里.jpg,,
666,4568,上海桃源·π,上海市普陀区同普路/泸定路,0.001706,no_clear_pv,91.25,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\4568_上海桃源·π.jpg,,
667,6372,上海缤谷文化休闲广场一期,上海市长宁区天山路341号,0.001570,no_clear_pv,100,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6372_上海缤谷文化休闲广场一期.jpg,,
668,1995,上海虹桥良华购物广场,上海市闵行区申滨路990号,0.001349,no_clear_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\1995_上海虹桥良华购物广场.jpg,,
669,3646,上海新华联国际中心,上海市闵行区申滨路473号,0.001349,no_clear_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\3646_上海新华联国际中心.jpg,,
670,7317,上海前滩31,上海市浦东新区济阳路/高青西路,0.001340,no_clear_pv,92.5,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7317_上海前滩31.jpg,,
671,1838,上海青浦百联奥特莱斯,上海市青浦区沪青平公路2888号,0.001277,no_clear_pv,100,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\1838_上海青浦百联奥特莱斯.jpg,,
672,3570,上海百盛优客城市广场（天山店）,上海市长宁区天山路789号,0.001086,no_clear_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\3570_上海百盛优客城市广场（天山店）.jpg,,
673,6306,上海虹桥现所·创邑MIX,上海市长宁区天山路1111号,0.001086,no_clear_pv,87.5,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6306_上海虹桥现所·创邑MIX.jpg,,
674,7107,上海南洋1931,上海市徐汇区裕德路165号,0.001069,no_clear_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7107_上海南洋1931.jpg,,
675,7536,上海城开YOYO,上海市徐汇区天钥桥路123号,0.000959,no_clear_pv,100,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7536_上海城开YOYO.jpg,,
676,330,上海五角场万达广场,上海市杨浦区淞沪路77号,0.000947,no_clear_pv,91.25,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\330_上海五角场万达广场.jpg,,
677,6176,上海万辉国际广场,上海市闵行区虹梅南路863号,0.000836,no_clear_pv,90,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6176_上海万辉国际广场.jpg,,
678,5685,上海金桥大拇指广场,上海市浦东新区大拇指广场,0.000832,no_clear_pv,100,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\5685_上海金桥大拇指广场.jpg,,
679,6452,上海绚荟城,上海市闵行区莲花南路1388弄7号,0.000810,no_clear_pv,85.59,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6452_上海绚荟城.jpg,,
680,6492,上海宝山尚优里乐坊,上海市宝山区淞塘路135号,0.000747,no_clear_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6492_上海宝山尚优里乐坊.jpg,,
681,560,上海宝山万达广场,上海市宝山区一二八纪念路968号,0.000731,no_clear_pv,91.25,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\560_上海宝山万达广场.jpg,,
682,6780,上海徐汇古北时尚广场,上海市徐汇区吴中路52号,0.000715,no_clear_pv,91.25,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6780_上海徐汇古北时尚广场.jpg,,
683,7160,上海百联徐汇商业广场,上海市徐汇区华山路2038号,0.000585,no_clear_pv,100,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7160_上海百联徐汇商业广场.jpg,,
684,1581,上海新田360广场（康桥店）,上海市浦东新区秀浦路668号,0.000522,no_clear_pv,90,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\1581_上海新田360广场（康桥店）.jpg,,
685,1556,上海前滩太古里,上海市浦东新区东育路500号,0.000503,no_clear_pv,100,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\1556_上海前滩太古里.jpg,,
686,7663,前滩太古里二期,,0.000495,no_clear_pv,88.2,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7663_前滩太古里二期.jpg,,
687,6995,上海东苑丽宝广场,上海市闵行区莘松路莘东路,0.000380,no_clear_pv,100,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6995_上海东苑丽宝广场.jpg,,
